oai:ecommons.cornell.edu:1813/29439	Thonney, Michael Larry
oai:ecommons.cornell.edu:1813/29440	Holowka, David Allan
oai:ecommons.cornell.edu:1813/29441	Melas, Natalie Anne-Marie
oai:ecommons.cornell.edu:1813/29442	Sturgeon, Nicholas Lee
oai:ecommons.cornell.edu:1813/29443	Zec, Draga
oai:ecommons.cornell.edu:1813/29444	Loucks, Daniel Peter
oai:ecommons.cornell.edu:1813/29445	Campbell, Mark
oai:ecommons.cornell.edu:1813/29446	Joo, Yong L.
oai:ecommons.cornell.edu:1813/29447	Koch, Christoph E.
oai:ecommons.cornell.edu:1813/29448	Makki, Fouad M
oai:ecommons.cornell.edu:1813/29449	Allmendinger, Richard Waldron
oai:ecommons.cornell.edu:1813/29450	Ellner, Stephen Paul
oai:ecommons.cornell.edu:1813/29451	Scarlett, Janet May
oai:ecommons.cornell.edu:1813/29452	Keich, Uri
oai:ecommons.cornell.edu:1813/29453	Blalock, Garrick
oai:ecommons.cornell.edu:1813/29454	Lloyd, James
oai:ecommons.cornell.edu:1813/29455	Turvey, Calum G.
oai:ecommons.cornell.edu:1813/29456	Lassoie, James Philip
oai:ecommons.cornell.edu:1813/29457	Craighead, Harold G
oai:ecommons.cornell.edu:1813/29458	Sacks, Gavin Lavi
oai:ecommons.cornell.edu:1813/29459	Goldsmith, William W
oai:ecommons.cornell.edu:1813/29460	Pond, Steven F.
oai:ecommons.cornell.edu:1813/29461	Park, Travis D.
oai:ecommons.cornell.edu:1813/29462	Bonassar, Lawrence
oai:ecommons.cornell.edu:1813/29463	Easley, David Alan
oai:ecommons.cornell.edu:1813/29464	Mansfield, Anna K.
oai:ecommons.cornell.edu:1813/29465	Sipple, John W
oai:ecommons.cornell.edu:1813/29466	Hua, Ying
oai:ecommons.cornell.edu:1813/29467	Duhamel, Gerald E.
oai:ecommons.cornell.edu:1813/29468	Otto, Christian F
oai:ecommons.cornell.edu:1813/29469	Loucks, Daniel Peter
oai:ecommons.cornell.edu:1813/29470	Van Es, Harold Mathijs
oai:ecommons.cornell.edu:1813/29471	Razin, Assaf
oai:ecommons.cornell.edu:1813/29472	Conrad, Jon M
oai:ecommons.cornell.edu:1813/29473	Goldsmith, William W
oai:ecommons.cornell.edu:1813/29474	Schukken, Ynte Hein
oai:ecommons.cornell.edu:1813/29475	Hay, Anthony G.
oai:ecommons.cornell.edu:1813/29476	Billera, Louis J.
oai:ecommons.cornell.edu:1813/29477	Schimenti, John C.
oai:ecommons.cornell.edu:1813/29478	Strogatz, Steven H
oai:ecommons.cornell.edu:1813/29479	Rickard, Bradley J.
oai:ecommons.cornell.edu:1813/29480	Sanderson, John P
oai:ecommons.cornell.edu:1813/29481	Brown, Laura Schaefer
oai:ecommons.cornell.edu:1813/29482	Evans, Gary William
oai:ecommons.cornell.edu:1813/29483	MacDonald, Scott C
oai:ecommons.cornell.edu:1813/29484	Monroe, Jonathan Beck
oai:ecommons.cornell.edu:1813/29485	Mulvaney, Steven J
oai:ecommons.cornell.edu:1813/29486	Kirby, Brian
oai:ecommons.cornell.edu:1813/29487	Jin, Moonsoo
oai:ecommons.cornell.edu:1813/29488	Maxwell, Lorraine E
oai:ecommons.cornell.edu:1813/29489	Daniel, Susan
oai:ecommons.cornell.edu:1813/29490	Chirik, Paul
oai:ecommons.cornell.edu:1813/29491	Rangarajan, Anusuya
oai:ecommons.cornell.edu:1813/29492	Stoltzfus, Rebecca Joyce
oai:ecommons.cornell.edu:1813/29493	Lal, Amit
oai:ecommons.cornell.edu:1813/29494	Datta, Ashim K
oai:ecommons.cornell.edu:1813/29495	Just, David R.
oai:ecommons.cornell.edu:1813/29496	Kan, Edwin Chihchuan
oai:ecommons.cornell.edu:1813/29497	Loos, Tamara
oai:ecommons.cornell.edu:1813/29498	Jennings, Jan
oai:ecommons.cornell.edu:1813/29499	Whitman, John
oai:ecommons.cornell.edu:1813/29500	Mansury, Yuri Surtadi
oai:ecommons.cornell.edu:1813/29501	Rose, Jocelyn
oai:ecommons.cornell.edu:1813/29502	Delisa, Matthew
oai:ecommons.cornell.edu:1813/29503	Lehmann, Christopher Johannes
oai:ecommons.cornell.edu:1813/29504	Engstrom, James R
oai:ecommons.cornell.edu:1813/29505	Vogtmann, Karen L
oai:ecommons.cornell.edu:1813/29506	Lal, Amit
oai:ecommons.cornell.edu:1813/29507	Tester, Jefferson William
oai:ecommons.cornell.edu:1813/29508	Trochim, William Michael
oai:ecommons.cornell.edu:1813/29509	Feathers, David Joseph
oai:ecommons.cornell.edu:1813/29510	Tomlan, Michael Andrew
oai:ecommons.cornell.edu:1813/29511	Bustamante, Carlos D.
oai:ecommons.cornell.edu:1813/29512	Turvey, Calum G.
oai:ecommons.cornell.edu:1813/29513	Bassuk, Nina Lauren
oai:ecommons.cornell.edu:1813/29514	Anderson, Christopher K
oai:ecommons.cornell.edu:1813/29515	Kan, Edwin Chihchuan
oai:ecommons.cornell.edu:1813/29516	Apsel, Alyssa B.
oai:ecommons.cornell.edu:1813/29517	Gruner, Sol Michael
oai:ecommons.cornell.edu:1813/29518	Ralph, Daniel C
oai:ecommons.cornell.edu:1813/29519	Anker, Elizabeth Susan
oai:ecommons.cornell.edu:1813/29520	Brainerd, Charles
oai:ecommons.cornell.edu:1813/29521	Rose, Jocelyn
oai:ecommons.cornell.edu:1813/29522	Michaely, Roni
oai:ecommons.cornell.edu:1813/29523	Tomlan, Michael Andrew
oai:ecommons.cornell.edu:1813/29524	Wolfner, Mariana Federica
oai:ecommons.cornell.edu:1813/29525	Dadi, Muhammad Iftikhar
oai:ecommons.cornell.edu:1813/29526	Quirk, Susan Mary
oai:ecommons.cornell.edu:1813/29527	Baeumner, Antje J
oai:ecommons.cornell.edu:1813/29529	Turvey, Calum G.
oai:ecommons.cornell.edu:1813/29530	Turvey, Calum G.
oai:ecommons.cornell.edu:1813/29531	Gomes, Carla P
oai:ecommons.cornell.edu:1813/29532	Huffaker, Tim Clark
oai:ecommons.cornell.edu:1813/29533	Peters, Joseph E.
oai:ecommons.cornell.edu:1813/29534	Stucky, Steven Edward
oai:ecommons.cornell.edu:1813/30599	Erickson, David
oai:ecommons.cornell.edu:1813/30600	Boyer, Dominic C.
oai:ecommons.cornell.edu:1813/30601	Yen, Andrew
oai:ecommons.cornell.edu:1813/30602	Bisogni, Carole Ayres
oai:ecommons.cornell.edu:1813/30603	Batt, Carl A
oai:ecommons.cornell.edu:1813/30604	Alani, Eric E
oai:ecommons.cornell.edu:1813/30605	Kudva, Neema
oai:ecommons.cornell.edu:1813/30606	Sobal, Jeffery
oai:ecommons.cornell.edu:1813/30607	Stedinger, Jery Russell
oai:ecommons.cornell.edu:1813/30608	Castillo, Debra Ann
